
-6.97670, -65.26677, 457.79004, 54.70594,  5.42036,  3.83505,  1.38285, -58.64644, 407.30989, 31.68414,  1.05541,  1.11100
-6.88688, -65.08677, 466.36999, 54.52486,  5.68914,  3.86366,  1.78826, -58.64644, 402.20988, 31.59441,  0.98432,  1.13004
-6.75214, -65.08677, 463.74348, 54.41168,  5.27702,  4.00672,  3.09458, -57.88162, 411.88231, 32.51413,  3.52575,  2.04407
-6.25809, -68.59666, 463.56837, 54.84176,  5.47412,  3.77783,  2.82431, -55.67713, 418.03749, 32.60386,  2.47719,  2.27258
-7.02162, -64.90678, 461.29206, 54.59276,  5.29494,  3.87320,  1.47294, -58.55646, 403.61678, 31.63927,  1.09096,  1.34903
-7.06653, -64.90678, 461.29206, 54.32113,  5.25910,  3.88274,  1.92339, -58.64644, 402.20988, 31.45981,  0.93101,  1.36807
-6.93179, -65.13177, 461.11696, 54.20795,  5.18743,  3.85413,  1.69817, -58.46648, 401.68230, 31.37008,  0.94878,  1.33950
-6.93179, -64.99678, 462.34267, 54.38904,  5.31285,  3.86366,  1.60808, -58.69143, 402.20988, 31.32522,  0.89546,  1.38711
-6.93179, -65.04178, 464.26878, 54.59276,  5.31285,  4.04486,  1.65312, -58.87139, 402.38575, 31.63927,  0.89546,  1.50136
-7.02162, -65.04178, 462.86797, 54.70594,  5.34869,  3.93996,  1.87835, -58.87139, 403.26506, 31.57197,  0.87769,  1.53945
-6.79705, -65.44676, 462.69287, 54.63804,  5.25910,  3.87320,  2.05853, -58.24154, 401.85816, 31.63927,  0.77106,  1.45376
-7.20127, -65.62676, 463.21817, 54.50222,  5.31285,  3.98764,  1.92339, -58.96137, 402.56161, 31.45981,  0.85992,  1.31094
-9.49185, -65.53676, 466.54509, 54.14005,  6.17293,  3.90181, -2.80640, -56.71189, 407.83748, 32.17765,  2.17506,  1.82508
-6.12335, -65.35677, 467.07040, 54.93230,  5.38453,  3.73969, -6.18482, -57.92661, 412.58576, 32.76089,  1.96180,  2.01551
-7.15636, -65.26677, 463.91858, 54.77385,  5.25910,  3.86366,  2.10358, -58.87139, 402.56161, 31.50468,  0.84215,  1.28238
-7.11144, -65.40176, 463.21817, 54.47958,  5.38453,  3.89227,  2.05853, -58.55646, 403.08919, 31.48225,  0.80660,  1.35855
-7.02162, -65.40176, 463.74348, 54.54749,  5.36661,  3.87320,  2.28376, -58.60145, 403.61678, 31.59441,  0.94878,  1.37759
-6.97670, -65.58176, 464.09368, 54.47958,  5.42036,  3.88274,  2.37385, -58.87139, 402.38575, 31.48225,  0.82437,  1.37759
-6.70722, -65.89675, 464.96918, 55.20394,  5.49204,  3.83505,  2.10358, -57.61168, 405.37540, 31.37008,  0.85992,  1.35855
-4.59630, -66.12174, 466.36999, 54.43431,  5.59955,  3.83505,  2.64412, -58.64644, 403.61678, 31.32522,  0.85992,  1.35855
-7.06653, -65.98674, 465.14428, 55.15866,  5.58163,  3.78737,  2.41890, -58.55646, 404.32023, 31.81873,  1.01987,  1.44424
-7.20127, -65.94175, 463.04307, 54.86440,  5.52787,  3.96857,  2.59908, -58.69143, 403.61678, 31.50468,  1.23314,  1.46328
-7.78514, -65.67176, 466.89529, 55.13603,  5.72497,  3.62524,  3.95045, -57.07180, 416.45473, 32.31224,  2.26392,  2.10120
-6.25809, -64.81678, 470.22221, 55.04548,  5.38453,  3.89227,  3.68017, -58.60145, 417.15818, 32.58143,  2.40610,  1.45376
-7.06653, -65.94175, 465.66959, 54.88703,  5.40245,  3.85413,  2.91440, -58.69143, 404.84782, 31.68414,  0.84215,  1.27286
-7.02162, -65.71675, 465.14428, 54.81912,  5.36661,  3.85413,  2.64412, -58.64644, 402.91333, 31.39252,  0.75329,  1.32046
-6.97670, -66.21174, 465.84469, 54.70594,  5.47412,  3.88274,  2.28376, -58.73642, 403.79264, 31.48225,  0.80660,  1.33950
