NO_OF_FRAMES	946
NO_OF_DATA_TYPES	3
FREQUENCY	300
TIME_STAMP	2024-02-02, 15:30:35
DATA_INCLUDED	Position
DATA_TYPES	r_hip_pos_X	r_hip_pos_Y	r_hip_pos_Z


85.283	488.568	803.396
85.203	488.547	800.823
85.187	488.534	798.317
85.233	488.526	795.881
85.343	488.522	793.517
85.519	488.518	791.228
85.760	488.515	789.017
86.065	488.511	786.885
86.436	488.505	784.835
86.871	488.499	782.867
87.368	488.491	780.985
87.928	488.483	779.188
88.547	488.473	777.480
89.225	488.463	775.859
89.958	488.453	774.328
90.742	488.444	772.887
91.577	488.437	771.538
92.459	488.432	770.283
93.385	488.430	769.122
94.353	488.431	768.057
95.362	488.434	767.088
96.409	488.439	766.218
97.492	488.445	765.447
98.610	488.452	764.778
99.762	488.457	764.211
100.944	488.461	763.749
102.157	488.462	763.392
103.397	488.459	763.143
104.663	488.451	763.003
105.953	488.439	762.973
107.263	488.421	763.054
108.590	488.399	763.247
109.933	488.373	763.553
111.286	488.345	763.973
112.646	488.314	764.506
114.008	488.286	765.154
115.368	488.262	765.914
116.722	488.243	766.789
118.068	488.228	767.778
119.403	488.217	768.882
120.723	488.207	770.102
122.027	488.198	771.439
123.312	488.190	772.893
124.577	488.182	774.465
125.822	488.173	776.156
127.046	488.164	777.968
128.248	488.154	779.900
129.430	488.143	781.955
130.593	488.130	784.134
131.737	488.115	786.438
132.864	488.097	788.872
133.976	488.076	791.437
135.075	488.053	794.137
136.163	488.027	796.975
137.242	487.998	799.955
138.317	487.967	803.081
139.391	487.935	806.357
140.467	487.902	809.787
141.550	487.869	813.376
142.643	487.835	817.126
143.751	487.801	821.042
144.879	487.768	825.128
146.031	487.735	829.386
147.215	487.702	833.818
148.434	487.669	838.429
149.696	487.636	843.220
151.006	487.601	848.193
152.371	487.564	853.352
153.796	487.523	858.698
155.287	487.481	864.233
156.848	487.438	869.957
158.484	487.396	875.870
160.199	487.354	881.975
161.995	487.313	888.270
163.875	487.275	894.754
165.841	487.238	901.428
167.892	487.204	908.290
170.029	487.171	915.338
172.250	487.141	922.568
174.553	487.112	929.979
176.934	487.085	937.565
179.388	487.060	945.323
181.909	487.037	953.245
184.490	487.017	961.326
187.124	486.999	969.557
189.802	486.984	977.929
192.513	486.971	986.433
195.248	486.961	995.057
197.997	486.953	1003.791
200.749	486.948	1012.623
